[Wafer Information]
Wafer Number,5
Wafer ID,A93-Q334273-403
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24101158-006
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/31/2024 05:26
End Time,01/31/2024 05:30
Inspection Time,0:03:19
Photo Time,0:02:59
Data Output Time,01/31/2024 05:53

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder
5,A93-Q334273-403,1654,1647,99.576784,7,7,4,2,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
33,19,50,40.364856,28.83204,317.15244,3
50,10,50,17.299224,20.182428,83.612916,2
49,10,50,14.41602,20.182428,77.846508,2
56,22,50,40.364856,34.598448,343.101276,3
58,7,50,51.897672,25.948836,320.035644,3
20,22,50,2.874714,11.498856,11.464996,1
85,9,50,14.37357,51.744852,197.771181,3

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder
5,A93-Q334273-403,1654,1650,99.758162,4,4,4

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
33,19,50,40.364856,28.83204,317.15244,3
50,10,Pass,17.299224,20.182428,83.612916,2
49,10,Pass,14.41602,20.182428,77.846508,2
56,22,50,40.364856,34.598448,343.101276,3
58,7,50,51.897672,25.948836,320.035644,3
20,22,Pass,2.874714,11.498856,11.464996,1
85,9,50,14.37357,51.744852,197.771181,3

