Job:,X2L3QBJL_R_08_05TEST,,,,Date:1/23/2024 6:53:35 AM
Lot:,A12,,,,System:OFFLINE45
Wafer ID:,0.Chipping.0,,,,Ver:5.9.2-1035


24,40,1119.98431023,22.59732376,5.732498,3.386,F07 Incoming microlens periphery peeling
48,33,875.58251376,19.94488732,5.732498,3.386,F07 Incoming microlens periphery peeling
