Job:,X2L3QBJL_R_08_05,,,,Date:1/12/2024 5:13:27 AM
Lot:,23C01731-001R,,,,System:OFFLINE46
Wafer ID:,A107Q336351351,,,,Ver:5.9.2-1035


44,3,160.26821236,56.48169571,311.386032,32.262,F29 Silicon powder
