Job:,X2L3QBJL_R_08_05,,,,Date:1/9/2024 11:21:13 PM
Lot:,24100101-001,,,,System:OFFLINE45
Wafer ID:,A23Q335381401.Chipping.0,,,,Ver:5.9.2-1035


19,9,1103.7100381,31.43631408,5.732498,3.386,F07 Incoming microlens periphery peeling
