Job:,X2L3QBJL_R_08_05,,,,Date:1/28/2024 10:17:11 AM
Lot:,23c02516-001R,,,,System:OFFLINE46
Wafer ID:,A155Q336488352.Chipping.0,,,,Ver:5.9.2-1035


6,25,1339.55072189,77.60921851,17.197494,1.693,F07 Incoming microlens periphery peeling
