Job:,X2L3QBJL_R_08_06,,,,Date:2/5/2024 2:57:23 AM
Lot:,24101951-001,,,,System:OFFLINE46
Wafer ID:,A53Q337727404.Crack.0,,,,Ver:5.9.2-1035


10,23,1192.97441207,2055.72681133,444.268595,22.009,F29 Silicon powder
