Job:,X2L3QBJL_R_08_05,,,,Date:1/2/2024 2:30:40 PM
Lot:,23C01955-011,,,,System:OFFLINE45
Wafer ID:,A70Q335634352,,,,Ver:5.9.2-1035


56,4,171.98490578,2253.13319758,813.063528,161.31,Good
